Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,4u7,C23733
C10,0603,1,10u,C19702
C11,0402,1,2u2,C12530
"C13, C14, C3, C32, C4, C8",0402,6,100n,C1525
"C15, C16",0402,2,10p,C32949
"C17, C19, C22, C24, C27, C29",0402,6,100n,C307331
"C18, C23, C28",1206,3,22u,C12891
"C20, C25, C30",0402,3,22n,C1532
"C21, C26, C31",0402,3,10u,C15525
C7,0603,1,10u,C96446
C9,0805,1,22u,C45783
J1,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Conn_01x02_MountingPin,C189893
"J2, J3",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,2,Conn_01x04_MountingPin,C189895
"J4, J5, J6",JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,3,Conn_01x06_MountingPin,C160405
J8,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Conn_01x04_MountingPin,C160390
L1,L_Chilisin_BMRA00040420,1,3u3,C207829
R1,0402,1,56k,C25796
"R10, R5, R6, R8",0402,4,510,C25123
"R11, R7, R9",0402,3,2k2,C25879
R2,0402,1,10k,C25744
R3,1206,1,120,C17909
U1,SOT-563,1,AP62150Z6,C3193206
U2,DFN-6-1EP_1.2x1.2mm_P0.4mm_EP0.3x0.94mm_PullBack,1,NCP176,C233363
U4,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,1,TJA1044GTK/3,C2157795
"U5, U6, U7",QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias,3,DRV8876,C1852100
U8,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32G431KBUx,C1341901
Y1,Crystal_SMD_1612-4P,1,24MHz,C2929397
