Designator,Mid X,Mid Y,Rotation,Layer
C1,-3.630755,-11.727826,225.0,top
C10,-3.6,-8.6,270.0,top
C11,-3.599581,-4.700366,180.0,top
C13,-7.6,-16.2,0.0,top
C14,-3.77526,-18.049738,90.0,top
C15,5.198936,-12.449261,180.0,top
C16,7.0,-11.0,180.0,top
C17,9.0,-4.6,180.0,top
C18,11.6,-3.8,270.0,top
C19,9.0,-3.6,180.0,top
C20,7.0,-4.6,180.0,top
C21,9.4,-10.0,0.0,top
C22,9.0,-12.0,180.0,top
C23,11.6,-12.4,270.0,top
C24,9.0,-11.0,180.0,top
C25,7.049973,-12.019264,180.0,top
C26,9.4,-17.4,0.0,top
C27,9.0,-19.4,180.0,top
C28,11.6,-19.8,270.0,top
C29,9.0,-18.4,180.0,top
C3,5.2,-13.4,0.0,top
C30,7.0,-19.4,180.0,top
C31,9.4,-24.8,0.0,top
C32,-4.129434,-15.674589,90.0,top
C4,-3.550958,-13.047658,225.0,top
C7,4.6,-3.6,180.0,top
C8,3.998659,-7.684169,0.0,top
C9,-0.957392,-8.951487,180.0,top
J1,6.8,0.4,0.0,top
J2,-7.8,-1.2,90.0,top
J3,-7.8,-10.661283,90.0,top
J4,16.2,-1.2,90.0,top
J5,16.2,-11.0,90.0,top
J6,16.2,-20.8,90.0,top
J8,-7.2,-23.0,180.0,top
L1,0.2,-5.6,180.0,top
R1,1.750804,-8.478823,0.0,top
R10,7.4,-24.8,180.0,top
R11,11.0,-23.8,270.0,top
R2,1.750804,-9.478823,180.0,top
R3,-9.766883,-17.888349,270.0,top
R5,4.995661,-9.771893,180.0,top
R6,7.4,-10.0,180.0,top
R7,11.0,-8.8,270.0,top
R8,7.4,-17.4,180.0,top
R9,11.0,-16.2,270.0,top
U1,4.6,-5.8,270.0,top
U2,-3.6,-6.125,180.0,top
U4,-6.4,-18.6,180.0,top
U5,8.25,-7.35,180.0,top
U6,8.25,-14.75,180.0,top
U7,8.25,-22.15,180.0,top
U8,0.4,-14.4,315.0,top
Y1,4.998921,-11.124468,0.0,top
